ClassTable,nameTextId,descTextId,number,promotion,SMSId,slowWalking,defaultPortraitId,unk0A,baseHP,basePow,baseSkl,baseSpd,baseDef,baseRes,baseCon,baseMov,maxHP,maxPow,maxSkl,maxSpd,maxDef,maxRes,maxCon,classRelativePower,growthHP,growthPow,growthSkl,growthSpd,growthDef,growthRes,growthLck,promotionHP,promotionPow,promotionSkl,promotionSpd,promotionDef,promotionRes,attributes,baseSwordRank,baseLanceRank,baseAxeRank,baseBowRank,baseStaffRank,baseAnimaRank,baseDaggerRank,baseStoneRank,pBattleAnimDef,pMovCostTable,pRainMovCostTable,pSnowMovCostTable,pTerrainAvoidLookup,pTerrainDefenseLookup,pTerrainResistanceLookup,classType
0x807110_0x7F,16_h,16_h,8_h,8_h,8_h,8_h,16_h,8_h,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,32_h,8_d,8_d,8_d,8_d,8_d,8_d,8_d,8_d,32_p,32_p,32_p,32_p,32_p,32_p,32_p,32_d
None,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,0,0,65,0,0,0x1000002,0,0,0,0,0,0,0,0,0x1f,0x0,0x231e143c,0x190f0f,0x0,0x0,0x0,0
Ephraim Lord,0x2bf,0x309,0x1,0x3,0x0,0x0,0x8b,0x1,18,6,6,7,6,0,8,5,60,20,20,20,20,20,20,3,90,45,40,45,15,15,40,0,0,0,0,0,0,0x20002000,0,31,0,0,0,0,0,0,0x88aefd8,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0
Eirika Lord,0x2bf,0x30a,0x2,0x4,0x1,0x0,0x8b,0x1,16,4,8,9,3,1,5,5,60,20,20,20,20,20,20,3,90,45,40,45,15,20,40,0,0,0,0,0,0,0x10022000,1,0,0,0,0,0,0,0,0x88aefe4,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0
Ephraim Master Lord,0x2c0,0x30b,0x3,0x1,0x2,0x0,0x8b,0x2,18,3,3,4,5,0,10,7,60,27,26,24,23,23,25,3,90,45,40,45,15,15,40,4,2,3,2,2,5,0x20002503,0,71,0,0,0,0,0,0,0x88aeff0,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0
Eirika Master Lord,0x2c0,0x30c,0x4,0x2,0x3,0x0,0x8b,0x2,18,3,3,4,5,0,7,7,60,24,29,30,22,25,25,3,90,45,40,45,15,20,40,4,2,2,1,3,5,0x10022503,71,0,0,0,0,0,0,0,0x88aeffc,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0
Cavalier,0x2c1,0x30d,0x5,0x7,0x4,0x0,0x80,0x20,20,5,2,5,6,0,9,7,60,20,20,20,20,20,25,3,75,35,40,28,15,15,30,0,0,0,0,0,0,0x403,1,31,0,0,0,0,0,0,0x88af008,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,0
Cavalier (F),0x2c1,0x30d,0x6,0x8,0x4,0x0,0x80,0x20,18,5,3,3,6,0,9,7,60,20,20,20,20,20,25,3,75,35,40,28,15,15,30,1,0,2,2,0,2,0x403,1,31,0,0,0,0,0,0,0x88af018,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,0
Paladin,0x2c2,0x30e,0x7,0x5,0x5,0x0,0x81,0x21,23,7,4,7,8,3,11,8,60,25,26,24,25,25,25,3,70,25,30,18,12,20,25,2,1,1,1,2,1,0x503,31,31,0,0,0,0,0,0,0x88af028,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0
Paladin (F),0x2c2,0x30e,0x8,0x6,0x5,0x0,0x81,0x21,23,6,6,11,7,6,9,8,60,23,27,25,24,26,25,3,70,25,35,25,12,25,25,1,1,1,2,1,2,0x503,31,31,0,0,0,0,0,0,0x88af038,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0
Armour Knight,0x2c3,0x30f,0x9,0xb,0x6,0x1,0x76,0xc,17,5,2,0,9,0,13,4,60,20,20,20,20,20,20,3,80,40,30,15,28,20,25,0,0,0,0,0,0,0x0,0,31,0,0,0,0,0,0,0x88af048,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,0
Armour Knight (F),0x2c3,0x30f,0xa,0xc,0x6,0x1,0x76,0xc,16,4,3,1,8,1,10,4,60,20,20,20,20,20,20,3,80,40,30,15,28,20,25,2,1,1,1,2,0,0x0,0,31,0,0,0,0,0,0,0x88af054,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,0
General,0x2c4,0x310,0xb,0x9,0x7,0x1,0x77,0xd,21,8,4,3,13,3,15,5,60,29,27,24,30,25,25,3,75,30,20,10,23,25,20,4,2,2,3,2,3,0x100,1,71,1,0,0,0,0,0,0x88af060,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,0
General (F),0x2c4,0x310,0xc,0xa,0x7,0x1,0x77,0xd,20,8,5,5,11,4,11,5,60,27,28,25,29,26,25,3,75,30,25,10,23,25,20,3,2,3,2,3,3,0x100,1,71,1,0,0,0,0,0,0x88af080,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,0
Thief,0x2c5,0x311,0xd,0x17,0x8,0x0,0x8e,0x7,16,3,1,9,2,0,6,6,60,20,20,20,20,20,20,2,50,5,45,40,5,20,40,0,0,0,0,0,0,0xc,1,0,0,0,0,0,0,0,0x88af0a0,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,0
Manakete,0x2d7,0x323,0xe,0x1f,0x9,0x0,0x8f,0x1f,12,0,0,2,2,2,5,8,60,20,20,20,20,20,20,2,95,40,30,20,0,10,25,0,0,0,0,0,0,0x40000,0,0,0,0,0,0,0,0,0x88af0ac,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0
Mercenary,0x2c6,0x312,0xf,0x11,0xa,0x0,0x90,0x3,18,4,8,8,4,0,9,5,60,20,20,20,20,20,20,3,80,40,40,32,18,20,30,0,0,0,0,0,0,0x0,31,0,0,0,0,0,0,0,0x88af0b8,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0
Mercenary (F),0x2c6,0x312,0x10,0x12,0xb,0x0,0x90,0x3,16,3,5,6,2,0,8,5,60,20,20,20,20,20,20,3,80,40,40,32,18,30,30,0,0,0,0,0,0,0x0,31,0,0,0,0,0,0,0,0x88af0c4,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0
Hero,0x2c7,0x313,0x11,0xf,0xc,0x0,0x91,0x4,22,6,9,10,8,2,11,6,60,25,30,26,25,22,25,3,75,30,30,20,20,20,25,4,1,2,2,2,2,0x100,71,0,31,0,0,0,0,0,0x88af0d0,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0
Hero (F),0x2c7,0x313,0x12,0x10,0xd,0x0,0x91,0x4,22,6,10,11,6,3,9,6,60,24,30,26,24,24,25,3,75,30,30,20,20,20,25,0,0,0,0,0,0,0x100,71,0,31,0,0,0,0,0,0x88af0ec,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0
Myrmidon,0x2c8,0x314,0x13,0x15,0xe,0x0,0x72,0x5,16,4,9,9,2,0,8,5,60,20,20,20,20,20,20,3,70,35,40,40,15,20,30,0,0,0,0,0,0,0x20000,31,0,0,0,0,0,0,0,0x88af108,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0
Myrmidon (F),0x2c8,0x314,0x14,0x16,0xf,0x0,0x72,0x5,15,3,9,10,1,1,5,5,60,20,20,20,20,20,20,3,70,35,40,40,15,20,30,0,0,0,0,0,0,0x20000,31,0,0,0,0,0,0,0,0x88af114,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0
Swordmaster,0x2c9,0x315,0x15,0x13,0x10,0x0,0x73,0x6,21,6,11,10,5,2,9,6,60,24,29,30,22,23,20,3,65,25,30,30,15,22,25,5,2,0,0,2,1,0x20140,71,0,0,0,0,0,0,0,0x88af120,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0
Swordmaster (F),0x2c9,0x315,0x16,0x14,0x11,0x0,0x73,0x6,19,6,11,12,4,3,7,6,60,22,29,30,22,25,20,3,65,25,30,30,15,22,25,4,2,1,0,2,1,0x20140,71,0,0,0,0,0,0,0,0x88af12c,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0
