MagicAnimationTable,itemNumber,isMapOnly,magicAnim,unk06,mapAnim,changeHP,mapFacing,mapColor,unk0F
0x8AFBD8_0xA1,16_h,16_h,16_h,16_h,32_p,8_h,8_h,8_h,8_h
0,0x1,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
1,0x5,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
2,0x3,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
3,0x4,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
4,0x2,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
5,0x8,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
6,0xb,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
7,0x10,0x2,0x1f,0x0,0x0,0x1,0x0,0x5,0x0
8,0xbc,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
9,0xe,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
10,0x9,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
11,0xa,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
12,0xc0,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
13,0xd,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
14,0x12,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
15,0x13,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
16,0x14,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
17,0x16,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
18,0x17,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
19,0x15,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
20,0x18,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
21,0x19,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
22,0x1c,0x2,0x3,0x0,0x0,0x1,0x0,0x0,0x0
23,0x1b,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
24,0x1a,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
25,0x1e,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
26,0x95,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
27,0x96,0x2,0x3,0x0,0x0,0x1,0x0,0x0,0x0
28,0xc3,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
29,0x1f,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
30,0x20,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
31,0x21,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
32,0x22,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
33,0x23,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
34,0x28,0x2,0x1,0x0,0x0,0x1,0x0,0x0,0x0
35,0xbd,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
36,0x26,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
37,0x24,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
38,0x2b,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
39,0x2a,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
40,0x27,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
41,0x25,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
42,0xc4,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
43,0xc5,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
44,0xc6,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
45,0x2d,0x2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
46,0x2e,0x2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
47,0x2f,0x2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
48,0x30,0x2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
49,0x31,0x2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
50,0x32,0x2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
51,0x33,0x2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
52,0x34,0x2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
53,0xc7,0x2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
54,0x35,0x2,0x10,0x0,0x0,0x1,0x0,0x0,0x0
55,0x36,0x2,0x10,0x0,0x0,0x1,0x0,0x0,0x0
56,0x37,0x2,0x10,0x0,0x0,0x1,0x0,0x0,0x0
57,0x38,0x2,0x16,0x0,0x0,0x1,0x0,0x2,0x0
58,0x39,0x2,0x19,0x0,0x0,0x1,0x0,0x0,0x0
59,0x3c,0x2,0x1b,0x0,0x0,0x1,0x0,0x4,0x0
60,0x3a,0x2,0x17,0x0,0x0,0x1,0x0,0x2,0x0
61,0x49,0x2,0x25,0x0,0x0,0x1,0x0,0x1,0x0
62,0x3b,0x2,0x1a,0x0,0x0,0x1,0x0,0x0,0x0
63,0xbf,0x2,0x18,0x0,0x0,0x1,0x0,0x2,0x0
64,0x3f,0x2,0x1f,0x0,0x0,0x1,0x0,0x5,0x0
65,0x41,0x2,0x22,0x0,0x0,0x1,0x0,0x5,0x0
66,0x42,0x2,0x20,0x0,0x0,0x1,0x0,0x5,0x0
67,0x45,0x2,0x1d,0x0,0x0,0x1,0x0,0x1,0x0
68,0x47,0x2,0x1e,0x0,0x0,0x1,0x0,0x1,0x0
69,0x48,0x2,0x24,0x0,0x0,0x1,0x0,0x1,0x0
70,0x4b,0x2,0x26,0x0,0x89a4a54,0x1,0x0,0x0,0x0
71,0x4c,0x2,0x27,0x0,0x89a4abc,0x1,0x0,0x0,0x0
